Ref,Val,Package,PosX,PosY,Rot,Side
"B1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-132.690000,-94.090000,90.000000,bottom
"B2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-120.040000,-93.207500,-90.000000,bottom
"B9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-178.600000,-111.900000,180.000000,bottom
"B10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-159.170000,-89.010000,180.000000,bottom
"B11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-185.760000,-115.970000,90.000000,bottom
"B12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-159.070000,-130.950000,0.000000,bottom
"B14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-125.600000,-112.000000,-90.000000,bottom
"B15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-138.600000,-112.300000,-90.000000,bottom
"B17","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-164.940000,-99.510000,0.000000,bottom
"B18","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-123.200000,-125.420000,0.000000,bottom
"B19","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-120.440000,-119.870000,180.000000,bottom
"B21","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-110.350000,-94.600000,180.000000,bottom
"C4","0.33u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-176.625000,-85.300000,-90.000000,bottom
"C5","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-160.875000,-110.850000,90.000000,bottom
"D1","RB751V40T1G","D_SOD-323_HandSoldering",-139.470000,-88.920000,180.000000,bottom
"D6","B0530WS-7-F","D_SOD-323_HandSoldering",-164.500000,-131.000000,180.000000,bottom
"Q3","SSM3J374R,LF","SOT-23",-177.800000,-106.700000,180.000000,bottom
"Q5","BC847C-13-F","SOT-23",-180.600000,-101.400000,0.000000,bottom
"Q6","FCX491ATA","SOT-89-3",-129.770000,-113.620000,-90.000000,bottom
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-186.730000,-120.810000,180.000000,bottom
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-119.070000,-123.690000,180.000000,bottom
"R7","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-136.200000,-89.800000,-90.000000,bottom
"R8","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-163.150000,-116.475000,90.000000,bottom
"R9","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-176.800000,-101.500000,90.000000,bottom
"R11","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-181.500000,-106.700000,90.000000,bottom
"R12","470K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.040000,-110.930000,180.000000,bottom
"R13","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-142.990000,-113.410000,0.000000,bottom
"R14","470K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-106.000000,180.000000,bottom
"R15","470K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-101.000000,180.000000,bottom
"R16","470K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-96.500000,180.000000,bottom
"R17","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-162.450000,-93.000000,0.000000,bottom
"R18","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-162.450000,-95.300000,0.000000,bottom
"R22","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.020000,-108.450000,0.000000,bottom
"R23","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-103.500000,0.000000,bottom
"R24","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-98.800000,0.000000,bottom
"R25","470K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-91.900000,180.000000,bottom
"R27","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-143.000000,-94.110000,0.000000,bottom
"R28","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-124.490000,-106.730000,-90.000000,bottom
"R29","2K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-128.400000,-105.600000,180.000000,bottom
"R30","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-166.000000,-96.000000,-90.000000,bottom
"R31","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-168.800000,-96.000000,-90.000000,bottom
"R32","27K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-132.470000,-117.620000,0.000000,bottom
"R33","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-187.540000,-108.180000,90.000000,bottom
"R34","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-121.520000,-116.280000,-90.000000,bottom
"R35","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-114.520000,-94.920000,180.000000,bottom
